"sensorId","type","value","createdAt"
"28A53A43D4E13CD3","TEMPERATURE",2.9,"2023-12-19 03:16:38.789+00"
"28182943D4E13CAC","TEMPERATURE",25.9,"2023-12-25 06:07:54.61+00"
"28A53A43D4E13CD3","TEMPERATURE",13.9,"2023-12-25 06:07:54.648+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",26.5,"2023-09-07 15:02:28.599+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",4.062,"2023-09-25 18:14:54.923+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",15.5,"2023-09-17 03:08:31.308+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",34096.401,"2023-12-25 06:07:54.668+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.683,"2023-12-13 00:16:54.173+00"
"286C3543D4E13CB5","TEMPERATURE",25.46,"2023-12-13 00:16:54.193+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",4.081,"2023-09-07 15:38:15.36+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.873,"2023-09-17 03:44:19.677+00"
"28D39E43D4E13CD5","TEMPERATURE",9.02,"2023-12-13 00:16:54.235+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",14,"2023-09-29 09:15:26.263+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",4.099,"2023-12-28 02:19:02.254+00"
"28F64A43D4E13CC9","TEMPERATURE",21.4,"2023-12-28 02:19:02.316+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",24.5,"2023-09-25 18:14:54.941+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",34429.762,"2023-12-28 02:19:02.269+00"
"287C5E43D4E13C8F","TEMPERATURE",14.71,"2023-12-28 02:19:02.309+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.751,"2023-10-11 10:04:52.116+00"
"28A53A43D4E13CD3","TEMPERATURE",7.4,"2023-12-28 02:19:02.326+00"
"28351643D4E13CBB","TEMPERATURE",12.9,"2023-12-13 00:16:54.252+00"
"28182943D4E13CAC","TEMPERATURE",24.9,"2023-12-19 03:16:38.746+00"
"28351643D4E13CBB","TEMPERATURE",11.4,"2023-12-19 03:16:38.8+00"
"286C3543D4E13CB5","TEMPERATURE",30.96,"2023-12-25 06:07:54.631+00"
"28351643D4E13CBB","TEMPERATURE",22.9,"2023-12-25 06:07:54.654+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",35125.983,"2023-12-07 23:36:34.273+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",2.5,"2023-12-28 02:19:02.272+00"
"28214043D4E13C35","TEMPERATURE",16.34,"2023-12-28 02:19:02.311+00"
"28351643D4E13CBB","TEMPERATURE",14.9,"2023-12-28 02:19:02.328+00"
