"sensorId","type","value","createdAt"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.083,"2023-10-28 23:59:04.53+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.083,"2023-12-05 10:51:50.372+00"
"2827A25704E13CF1","TEMPERATURE",10.1,"2023-12-05 10:51:50.431+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.109,"2023-12-10 19:11:41.943+00"
"281C479497130366","TEMPERATURE",16.71,"2023-12-10 19:11:41.984+00"
"2868659497130359","TEMPERATURE",5.59,"2023-12-21 23:35:09.836+00"
"28981994970403E5","AMBIENT_TEMPERATURE",4,"2023-12-21 23:35:09.848+00"
"28711594970203D1","TEMPERATURE",9.79,"2023-12-21 23:35:09.853+00"
"28981994970403E5","AMBIENT_TEMPERATURE",16,"2023-10-18 22:30:16.303+00"
"28981994970403E5","AMBIENT_TEMPERATURE",16.5,"2023-10-28 23:59:04.536+00"
"2868659497130359","TEMPERATURE",2.59,"2023-12-05 10:51:50.379+00"
"28AB1594970203DA","TEMPERATURE",10.23,"2023-12-05 10:51:50.434+00"
"2868659497130359","TEMPERATURE",5.59,"2023-12-10 19:11:41.958+00"
"288A099497020306","TEMPERATURE",8.09,"2023-12-10 19:11:41.995+00"
"28711594970203D1","TEMPERATURE",8.79,"2023-12-10 19:11:42.015+00"
"28145D9497130306","TEMPERATURE",6.52,"2023-12-21 23:35:09.837+00"
"281C479497130366","TEMPERATURE",7.21,"2023-12-21 23:35:09.849+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.162,"2023-10-18 22:30:16.293+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",3.95,"2023-11-25 08:22:51.19+00"
"28981994970403E5","AMBIENT_TEMPERATURE",0.5,"2023-12-05 10:51:50.409+00"
"28FA8643D4E13CB7","TEMPERATURE",3.84,"2023-12-05 10:51:50.419+00"
"28981994970403E5","AMBIENT_TEMPERATURE",3.5,"2023-12-10 19:11:41.961+00"
"284E145704E13C77","TEMPERATURE",19.52,"2023-12-10 19:11:42.004+00"
"28FA8643D4E13CB7","TEMPERATURE",8.84,"2023-12-21 23:35:09.846+00"
"2827A25704E13CF1","TEMPERATURE",10.1,"2023-12-21 23:35:09.851+00"
"28981994970403E5","AMBIENT_TEMPERATURE",-3,"2023-11-25 08:22:51.196+00"
"28145D9497130306","TEMPERATURE",1.59,"2023-12-05 10:51:50.412+00"
"284E145704E13C77","TEMPERATURE",16.52,"2023-12-05 10:51:50.429+00"
"28711594970203D1","TEMPERATURE",5.79,"2023-12-05 10:51:50.435+00"
"28145D9497130306","TEMPERATURE",4.02,"2023-12-10 19:11:41.962+00"
"28AB1594970203DA","TEMPERATURE",14.23,"2023-12-10 19:11:42.001+00"
"2827A25704E13CF1","TEMPERATURE",14.1,"2023-12-10 19:11:42.02+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.17,"2023-10-13 19:23:18.872+00"
"28981994970403E5","AMBIENT_TEMPERATURE",16.5,"2023-10-29 00:30:17.117+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.078,"2023-10-29 00:30:17.11+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.14,"2023-11-05 23:31:10.733+00"
"281C479497130366","TEMPERATURE",15.71,"2023-12-05 10:51:50.416+00"
"28FA8643D4E13CB7","TEMPERATURE",5.84,"2023-12-10 19:11:41.999+00"
"28981994970403E5","AMBIENT_TEMPERATURE",26,"2023-10-13 19:23:18.892+00"
"28981994970403E5","AMBIENT_TEMPERATURE",8,"2023-11-05 23:31:10.735+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.111,"2023-11-19 09:00:53.089+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.175,"2023-11-12 19:09:00.262+00"
"28981994970403E5","AMBIENT_TEMPERATURE",-4.5,"2023-11-19 09:00:53.104+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.111,"2023-11-30 10:37:42.417+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.116,"2023-10-09 10:03:28.725+00"
"28981994970403E5","AMBIENT_TEMPERATURE",19.5,"2023-11-12 19:09:00.278+00"
"28981994970403E5","AMBIENT_TEMPERATURE",2.5,"2023-11-30 10:37:42.432+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.082,"2023-10-29 01:01:26.944+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.133,"2023-10-05 06:19:15.084+00"
"28981994970403E5","AMBIENT_TEMPERATURE",16,"2023-10-29 01:01:26.951+00"
"28981994970403E5","AMBIENT_TEMPERATURE",13.5,"2023-10-05 06:19:15.099+00"
"28981994970403E5","AMBIENT_TEMPERATURE",5,"2023-10-09 10:03:28.73+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.133,"2023-10-01 05:01:14.261+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",3.887,"2023-09-27 15:59:21.708+00"
"28981994970403E5","AMBIENT_TEMPERATURE",13,"2023-10-01 05:01:14.275+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.082,"2023-10-29 01:32:38.39+00"
"2868659497130359","TEMPERATURE",5.59,"2023-12-22 00:06:18.458+00"
"281C479497130366","TEMPERATURE",7.21,"2023-12-22 00:06:18.485+00"
"28AB1594970203DA","TEMPERATURE",9.73,"2023-12-22 00:06:18.506+00"
"28981994970403E5","AMBIENT_TEMPERATURE",21.5,"2023-09-27 15:59:21.709+00"
"28981994970403E5","AMBIENT_TEMPERATURE",15.5,"2023-10-29 01:32:38.404+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.14,"2023-11-06 00:02:17.936+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.12,"2023-12-22 00:06:18.443+00"
"28FA8643D4E13CB7","TEMPERATURE",8.34,"2023-12-22 00:06:18.498+00"
"28981994970403E5","AMBIENT_TEMPERATURE",13,"2023-10-18 23:01:18.891+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.161,"2023-10-18 23:01:18.874+00"
"28981994970403E5","AMBIENT_TEMPERATURE",7,"2023-11-06 00:02:17.951+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.082,"2023-12-05 11:23:02.418+00"
"284E145704E13C77","TEMPERATURE",18.52,"2023-12-05 11:23:02.476+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.109,"2023-12-10 19:42:50.187+00"
"281C479497130366","TEMPERATURE",15.71,"2023-12-10 19:42:50.231+00"
"28711594970203D1","TEMPERATURE",8.29,"2023-12-10 19:42:50.262+00"
"28981994970403E5","AMBIENT_TEMPERATURE",3.5,"2023-12-22 00:06:18.461+00"
"284E145704E13C77","TEMPERATURE",11.02,"2023-12-22 00:06:18.501+00"
"2868659497130359","TEMPERATURE",2.59,"2023-12-05 11:23:02.433+00"
"28145D9497130306","TEMPERATURE",1.59,"2023-12-05 11:23:02.441+00"
"28711594970203D1","TEMPERATURE",5.79,"2023-12-05 11:23:02.481+00"
"2868659497130359","TEMPERATURE",5.59,"2023-12-10 19:42:50.207+00"
"288A099497020306","TEMPERATURE",8.09,"2023-12-10 19:42:50.242+00"
"2827A25704E13CF1","TEMPERATURE",13.6,"2023-12-10 19:42:50.263+00"
"28145D9497130306","TEMPERATURE",6.02,"2023-12-22 00:06:18.463+00"
"28711594970203D1","TEMPERATURE",9.79,"2023-12-22 00:06:18.52+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",3.948,"2023-11-25 08:53:55.173+00"
"28981994970403E5","AMBIENT_TEMPERATURE",0.5,"2023-12-05 11:23:02.436+00"
"281C479497130366","TEMPERATURE",14.71,"2023-12-05 11:23:02.459+00"
"28AB1594970203DA","TEMPERATURE",10.23,"2023-12-05 11:23:02.482+00"
"28981994970403E5","AMBIENT_TEMPERATURE",3,"2023-12-10 19:42:50.209+00"
"28FA8643D4E13CB7","TEMPERATURE",5.84,"2023-12-10 19:42:50.243+00"
"28AB1594970203DA","TEMPERATURE",14.23,"2023-12-10 19:42:50.265+00"
"288A099497020306","TEMPERATURE",6.59,"2023-12-22 00:06:18.496+00"
"2827A25704E13CF1","TEMPERATURE",10.1,"2023-12-22 00:06:18.517+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.082,"2023-10-29 02:03:48.989+00"
"28981994970403E5","AMBIENT_TEMPERATURE",-3.5,"2023-11-25 08:53:55.189+00"
"2827A25704E13CF1","TEMPERATURE",10.1,"2023-12-05 11:23:02.495+00"
"28145D9497130306","TEMPERATURE",4.02,"2023-12-10 19:42:50.224+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.178,"2023-10-13 19:54:37.554+00"
"28981994970403E5","AMBIENT_TEMPERATURE",15.5,"2023-10-29 02:03:49.008+00"
"28FA8643D4E13CB7","TEMPERATURE",3.84,"2023-12-05 11:23:02.473+00"
"284E145704E13C77","TEMPERATURE",19.52,"2023-12-10 19:42:50.246+00"
"28981994970403E5","AMBIENT_TEMPERATURE",29.5,"2023-10-13 19:54:37.569+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.109,"2023-11-19 09:32:04.193+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.169,"2023-11-12 19:40:09.393+00"
"28981994970403E5","AMBIENT_TEMPERATURE",-4.5,"2023-11-19 09:32:04.207+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.111,"2023-11-30 11:08:44.429+00"
"28981994970403E5","AMBIENT_TEMPERATURE",19,"2023-11-12 19:40:09.4+00"
"28981994970403E5","AMBIENT_TEMPERATURE",1,"2023-11-30 11:08:44.444+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.08,"2023-10-29 02:35:00.847+00"
"28981994970403E5","AMBIENT_TEMPERATURE",15,"2023-10-29 02:35:00.854+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.136,"2023-11-06 00:33:25.404+00"
"28981994970403E5","AMBIENT_TEMPERATURE",5.5,"2023-11-06 00:33:25.419+00"
"28981994970403E5","AMBIENT_TEMPERATURE",4.5,"2023-10-09 10:34:38.897+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.082,"2023-10-29 03:06:11.978+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.12,"2023-12-22 00:37:30.569+00"
"288A099497020306","TEMPERATURE",6.09,"2023-12-22 00:37:30.611+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.128,"2023-10-05 06:50:27.248+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.159,"2023-10-18 23:32:21.459+00"
"28981994970403E5","AMBIENT_TEMPERATURE",15,"2023-10-29 03:06:11.993+00"
"2868659497130359","TEMPERATURE",5.59,"2023-12-22 00:37:30.575+00"
"28FA8643D4E13CB7","TEMPERATURE",7.84,"2023-12-22 00:37:30.614+00"
"28981994970403E5","AMBIENT_TEMPERATURE",14,"2023-10-05 06:50:27.255+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.111,"2023-10-09 10:34:38.9+00"
"28981994970403E5","AMBIENT_TEMPERATURE",11,"2023-10-18 23:32:21.473+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.082,"2023-12-05 11:54:15.26+00"
"281C479497130366","TEMPERATURE",13.71,"2023-12-05 11:54:15.301+00"
"284E145704E13C77","TEMPERATURE",17.02,"2023-12-05 11:54:15.319+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.109,"2023-12-10 20:13:58.36+00"
"28145D9497130306","TEMPERATURE",3.52,"2023-12-10 20:13:58.382+00"
"28711594970203D1","TEMPERATURE",8.29,"2023-12-10 20:13:58.416+00"
"28981994970403E5","AMBIENT_TEMPERATURE",4,"2023-12-22 00:37:30.578+00"
"284E145704E13C77","TEMPERATURE",11.02,"2023-12-22 00:37:30.625+00"
"28AB1594970203DA","TEMPERATURE",9.73,"2023-12-22 00:37:30.629+00"
"2868659497130359","TEMPERATURE",2.59,"2023-12-05 11:54:15.275+00"
"28711594970203D1","TEMPERATURE",5.79,"2023-12-05 11:54:15.321+00"
"2868659497130359","TEMPERATURE",5.59,"2023-12-10 20:13:58.374+00"
"284E145704E13C77","TEMPERATURE",20.02,"2023-12-10 20:13:58.432+00"
"28145D9497130306","TEMPERATURE",5.52,"2023-12-22 00:37:30.579+00"
"28711594970203D1","TEMPERATURE",9.79,"2023-12-22 00:37:30.627+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",3.943,"2023-11-25 09:25:00.336+00"
"28981994970403E5","AMBIENT_TEMPERATURE",1,"2023-12-05 11:54:15.297+00"
"2827A25704E13CF1","TEMPERATURE",10.1,"2023-12-05 11:54:15.325+00"
"28981994970403E5","AMBIENT_TEMPERATURE",2.5,"2023-12-10 20:13:58.377+00"
"28FA8643D4E13CB7","TEMPERATURE",5.34,"2023-12-10 20:13:58.414+00"
"281C479497130366","TEMPERATURE",7.21,"2023-12-22 00:37:30.609+00"
"2827A25704E13CF1","TEMPERATURE",10.1,"2023-12-22 00:37:30.63+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",3.906,"2023-09-27 16:30:47.032+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.08,"2023-10-29 03:37:23.775+00"
"28981994970403E5","AMBIENT_TEMPERATURE",-3.5,"2023-11-25 09:25:00.35+00"
"28145D9497130306","TEMPERATURE",1.59,"2023-12-05 11:54:15.3+00"
"28FA8643D4E13CB7","TEMPERATURE",3.84,"2023-12-05 11:54:15.317+00"
"281C479497130366","TEMPERATURE",15.71,"2023-12-10 20:13:58.4+00"
"28AB1594970203DA","TEMPERATURE",14.23,"2023-12-10 20:13:58.436+00"
"28981994970403E5","AMBIENT_TEMPERATURE",27.5,"2023-09-27 16:30:47.039+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.164,"2023-10-13 20:25:51.938+00"
"28981994970403E5","AMBIENT_TEMPERATURE",15,"2023-10-29 03:37:23.789+00"
"28AB1594970203DA","TEMPERATURE",10.23,"2023-12-05 11:54:15.315+00"
"288A099497020306","TEMPERATURE",8.09,"2023-12-10 20:13:58.411+00"
"2827A25704E13CF1","TEMPERATURE",13.1,"2023-12-10 20:13:58.437+00"
"28981994970403E5","AMBIENT_TEMPERATURE",26,"2023-10-13 20:25:51.944+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.109,"2023-11-19 10:03:14.696+00"
"28981994970403E5","AMBIENT_TEMPERATURE",17.5,"2023-11-12 20:11:20.945+00"
"28981994970403E5","AMBIENT_TEMPERATURE",-4.5,"2023-11-19 10:03:14.702+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.109,"2023-11-30 11:39:45.807+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.133,"2023-10-01 05:32:24.62+00"
"28981994970403E5","AMBIENT_TEMPERATURE",2,"2023-11-30 11:39:45.825+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.075,"2023-10-29 04:08:35.687+00"
"28981994970403E5","AMBIENT_TEMPERATURE",13,"2023-10-01 05:32:24.622+00"
"28981994970403E5","AMBIENT_TEMPERATURE",15,"2023-10-29 04:08:35.693+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.127,"2023-11-06 01:56:46.712+00"
"28981994970403E5","AMBIENT_TEMPERATURE",4,"2023-11-06 01:56:46.726+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.167,"2023-11-12 20:11:20.929+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.074,"2023-10-29 04:39:50.267+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.114,"2023-12-22 01:08:38.333+00"
"284E145704E13C77","TEMPERATURE",10.52,"2023-12-22 01:08:38.381+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.156,"2023-10-19 00:03:27.43+00"
"28981994970403E5","AMBIENT_TEMPERATURE",14.5,"2023-10-29 04:39:50.274+00"
"2868659497130359","TEMPERATURE",5.59,"2023-12-22 01:08:38.34+00"
"288A099497020306","TEMPERATURE",5.59,"2023-12-22 01:08:38.377+00"
"28711594970203D1","TEMPERATURE",9.29,"2023-12-22 01:08:38.382+00"
"28981994970403E5","AMBIENT_TEMPERATURE",10,"2023-10-19 00:03:27.436+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.083,"2023-12-05 12:25:27.201+00"
"281C479497130366","TEMPERATURE",13.71,"2023-12-05 12:25:27.24+00"
"28711594970203D1","TEMPERATURE",5.79,"2023-12-05 12:25:27.273+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.106,"2023-12-10 20:45:06.378+00"
"288A099497020306","TEMPERATURE",7.59,"2023-12-10 20:45:06.431+00"
"2827A25704E13CF1","TEMPERATURE",13.1,"2023-12-10 20:45:06.438+00"
"28981994970403E5","AMBIENT_TEMPERATURE",3.5,"2023-12-22 01:08:38.354+00"
"28FA8643D4E13CB7","TEMPERATURE",7.34,"2023-12-22 01:08:38.379+00"
"2868659497130359","TEMPERATURE",2.09,"2023-12-05 12:25:27.216+00"
"2868659497130359","TEMPERATURE",5.09,"2023-12-10 20:45:06.391+00"
"28FA8643D4E13CB7","TEMPERATURE",5.34,"2023-12-10 20:45:06.433+00"
"28145D9497130306","TEMPERATURE",5.52,"2023-12-22 01:08:38.356+00"
"28AB1594970203DA","TEMPERATURE",9.73,"2023-12-22 01:08:38.394+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.111,"2023-10-09 11:05:49.092+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",3.945,"2023-11-25 09:56:06.749+00"
"28981994970403E5","AMBIENT_TEMPERATURE",1,"2023-12-05 12:25:27.22+00"
"28AB1594970203DA","TEMPERATURE",10.23,"2023-12-05 12:25:27.26+00"
"2827A25704E13CF1","TEMPERATURE",10.1,"2023-12-05 12:25:27.275+00"
"28981994970403E5","AMBIENT_TEMPERATURE",2,"2023-12-10 20:45:06.394+00"
"28711594970203D1","TEMPERATURE",8.29,"2023-12-10 20:45:06.435+00"
