"sensorId","type","value","createdAt"
"28981994970403E5","AMBIENT_TEMPERATURE",14,"2023-10-01 03:27:38.957+00"
"28981994970403E5","AMBIENT_TEMPERATURE",19,"2023-11-12 18:06:45.348+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.138,"2023-10-05 04:14:23.454+00"
"28981994970403E5","AMBIENT_TEMPERATURE",-2,"2023-11-25 07:20:43.918+00"
"28981994970403E5","AMBIENT_TEMPERATURE",14.5,"2023-10-05 04:14:23.461+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",3.875,"2023-09-27 14:25:42.048+00"
"28981994970403E5","AMBIENT_TEMPERATURE",24,"2023-09-27 14:25:42.063+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.13,"2023-10-05 04:45:35.788+00"
"28981994970403E5","AMBIENT_TEMPERATURE",13.5,"2023-10-05 04:45:35.811+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.135,"2023-10-01 03:58:50.065+00"
"28981994970403E5","AMBIENT_TEMPERATURE",13.5,"2023-10-01 03:58:50.066+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.136,"2023-10-05 05:16:47.373+00"
"28981994970403E5","AMBIENT_TEMPERATURE",13.5,"2023-10-05 05:16:47.387+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",3.88,"2023-09-27 14:57:05.26+00"
"28981994970403E5","AMBIENT_TEMPERATURE",24,"2023-09-27 14:57:05.267+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.148,"2023-11-05 22:27:21.231+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.087,"2023-10-28 21:54:22.297+00"
"28981994970403E5","AMBIENT_TEMPERATURE",11.5,"2023-11-05 22:27:21.238+00"
"28981994970403E5","AMBIENT_TEMPERATURE",17.5,"2023-10-28 21:54:22.303+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.145,"2023-11-05 22:29:26.756+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.13,"2023-12-21 23:04:06.165+00"
"28FA8643D4E13CB7","TEMPERATURE",9.34,"2023-12-21 23:04:06.17+00"
"2827A25704E13CF1","TEMPERATURE",10.1,"2023-12-21 23:04:06.184+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.085,"2023-10-28 22:25:33.474+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.082,"2023-12-05 10:20:36.372+00"
"28711594970203D1","TEMPERATURE",6.29,"2023-12-05 10:20:36.433+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.107,"2023-12-10 18:40:30.929+00"
"28AB1594970203DA","TEMPERATURE",14.23,"2023-12-10 18:40:30.975+00"
"288A099497020306","TEMPERATURE",7.09,"2023-12-21 23:04:06.166+00"
"28711594970203D1","TEMPERATURE",9.79,"2023-12-21 23:04:06.172+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.161,"2023-10-18 21:59:14.343+00"
"28981994970403E5","AMBIENT_TEMPERATURE",17.5,"2023-10-28 22:25:33.48+00"
"28981994970403E5","AMBIENT_TEMPERATURE",11,"2023-11-05 22:29:26.768+00"
"2868659497130359","TEMPERATURE",2.59,"2023-12-05 10:20:36.386+00"
"28AB1594970203DA","TEMPERATURE",10.23,"2023-12-05 10:20:36.435+00"
"2868659497130359","TEMPERATURE",6.09,"2023-12-10 18:40:30.936+00"
"28FA8643D4E13CB7","TEMPERATURE",5.84,"2023-12-10 18:40:30.977+00"
"28981994970403E5","AMBIENT_TEMPERATURE",4,"2023-12-21 23:04:06.168+00"
"28AB1594970203DA","TEMPERATURE",9.73,"2023-12-21 23:04:06.182+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.13,"2023-10-01 04:30:02.087+00"
"28981994970403E5","AMBIENT_TEMPERATURE",16.5,"2023-10-18 21:59:14.358+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",3.951,"2023-11-25 07:51:48.069+00"
"28981994970403E5","AMBIENT_TEMPERATURE",0.5,"2023-12-05 10:20:36.389+00"
"28FA8643D4E13CB7","TEMPERATURE",3.84,"2023-12-05 10:20:36.426+00"
"2827A25704E13CF1","TEMPERATURE",10.6,"2023-12-05 10:20:36.436+00"
"28981994970403E5","AMBIENT_TEMPERATURE",3.5,"2023-12-10 18:40:30.967+00"
"28711594970203D1","TEMPERATURE",8.79,"2023-12-10 18:40:30.991+00"
"28145D9497130306","TEMPERATURE",6.52,"2023-12-21 23:04:06.169+00"
"284E145704E13C77","TEMPERATURE",11.52,"2023-12-21 23:04:06.171+00"
"28981994970403E5","AMBIENT_TEMPERATURE",13.5,"2023-10-01 04:30:02.102+00"
"28981994970403E5","AMBIENT_TEMPERATURE",-2.5,"2023-11-25 07:51:48.076+00"
"28145D9497130306","TEMPERATURE",1.59,"2023-12-05 10:20:36.391+00"
"284E145704E13C77","TEMPERATURE",17.52,"2023-12-05 10:20:36.429+00"
"28145D9497130306","TEMPERATURE",4.02,"2023-12-10 18:40:30.97+00"
"284E145704E13C77","TEMPERATURE",20.52,"2023-12-10 18:40:30.987+00"
"2827A25704E13CF1","TEMPERATURE",14.1,"2023-12-10 18:40:30.992+00"
"2868659497130359","TEMPERATURE",5.59,"2023-12-21 23:04:06.169+00"
"281C479497130366","TEMPERATURE",7.21,"2023-12-21 23:04:06.183+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.133,"2023-10-05 05:48:01.91+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.165,"2023-10-13 18:52:13.395+00"
"281C479497130366","TEMPERATURE",14.21,"2023-12-05 10:20:36.413+00"
"281C479497130366","TEMPERATURE",16.71,"2023-12-10 18:40:30.974+00"
"288A099497020306","TEMPERATURE",8.09,"2023-12-10 18:40:30.989+00"
"28981994970403E5","AMBIENT_TEMPERATURE",15,"2023-10-05 05:48:01.926+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.116,"2023-10-09 09:32:20.927+00"
"28981994970403E5","AMBIENT_TEMPERATURE",26,"2023-10-13 18:52:13.409+00"
"28981994970403E5","AMBIENT_TEMPERATURE",17,"2023-10-28 22:56:42.012+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.112,"2023-11-19 08:29:44.237+00"
"28981994970403E5","AMBIENT_TEMPERATURE",6.5,"2023-10-09 09:32:20.932+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.177,"2023-11-12 18:37:50.497+00"
"28981994970403E5","AMBIENT_TEMPERATURE",-4,"2023-11-19 08:29:44.252+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.109,"2023-11-30 10:06:38.6+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.087,"2023-10-28 22:56:41.997+00"
"28981994970403E5","AMBIENT_TEMPERATURE",19,"2023-11-12 18:37:50.504+00"
"28981994970403E5","AMBIENT_TEMPERATURE",2,"2023-11-30 10:06:38.617+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",3.883,"2023-09-27 15:28:21.043+00"
"28981994970403E5","AMBIENT_TEMPERATURE",22,"2023-09-27 15:28:21.049+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.146,"2023-11-05 23:00:09.112+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.085,"2023-10-28 23:27:52.719+00"
"28981994970403E5","AMBIENT_TEMPERATURE",9,"2023-11-05 23:00:09.127+00"
"28981994970403E5","AMBIENT_TEMPERATURE",16.5,"2023-10-28 23:27:52.726+00"
"A0:B7:65:FE:85:68-BatteryVoltage","BATTERY_VOLTAGE",4.125,"2023-12-21 23:35:09.834+00"
"28AB1594970203DA","TEMPERATURE",9.73,"2023-12-21 23:35:09.85+00"
"288A099497020306","TEMPERATURE",6.59,"2023-12-21 23:35:09.835+00"
"284E145704E13C77","TEMPERATURE",11.52,"2023-12-21 23:35:09.847+00"
