"id","hiveId","dataType1","location","calibration"
"28D00594970203C6",26,"AMBIENT_TEMPERATURE","device",0
"B4:8A:0A:81:06:00-BatteryVoltage",26,"BATTERY_VOLTAGE","device",0.21
"28A53A43D4E13CD3",26,"TEMPERATURE","gap8",-1.1
"287C5E43D4E13C8F",26,"TEMPERATURE","gap1",-0.29
"286C3543D4E13CB5",26,"TEMPERATURE","gap3",-0.04
"28F64A43D4E13CC9",26,"TEMPERATURE","gap4",-0.6
"28214043D4E13C35",26,"TEMPERATURE","gap5",-0.16
"28351643D4E13CBB",26,"TEMPERATURE","gap6",-0.1
"28D39E43D4E13CD5",26,"TEMPERATURE","gap7",-0.48
"2812CE43D4E13CE8",26,"TEMPERATURE","gap9",-0.41
"28182943D4E13CAC",26,"TEMPERATURE","gap2",-1.1
"B4:8A:0A:81:06:00-Hiveweight",26,"WEIGHT","device",0
